name,latitude,longitude,weight
id_1,-1.3665137,36.7431469,1
id_2,-1.3512242,36.7133726,1
id_3,-1.3651721,36.7428089,1
id_4,-1.3753869,36.744518,1
id_5,-1.3962761,36.7622509,1
id_6,-1.429989,36.6874615,1
id_7,-1.4285673,36.6868391,1
id_8,-1.4315048,36.6863535,1
id_9,-1.3570058,36.7620542,1
id_10,-1.3915206,36.6821969,1
id_11,-1.3956817,36.7545859,1
id_12,-1.3588614,36.7467239,1
id_13,-1.3624783,36.7398166,1
id_14,-1.3486153,36.6714857,1
id_15,-1.3698585,36.7505369,1
id_16,-1.4005767,36.7225027,1
id_17,-1.4006947,36.7227065,1
id_18,-1.3532493,36.7565512,1
id_19,-1.3724914,36.7682641,1
id_20,-1.3660899,36.7658262,1
id_21,-1.364582,36.7453047,1
id_22,-1.3967854,36.7530217,1
id_23,-1.401558,36.7275282,1
id_24,-1.4028861,36.7281922,1
id_25,-1.4055405,36.7285717,1
id_26,-1.4063308,36.7284031,1
id_27,-1.4062721,36.7287673,1
id_28,-1.4058679,36.7290619,1
id_29,-1.4014058,36.7266154,1
id_30,-1.401505,36.726913,1
id_31,-1.4014247,36.727253,1
id_32,-1.4035923,36.7281312,1
id_33,-1.4032494,36.7282258,1
id_34,-1.4026163,36.7286929,1
id_35,-1.4012954,36.7270097,1
id_36,-1.4013122,36.726713,1
id_37,-1.4024465,36.7213119,1
id_38,-1.4041308,36.7222963,1
id_39,-1.4043228,36.7244193,1
id_40,-1.406206,36.7294775,1
id_41,-1.4030691,36.728215,1
id_42,-1.4060128,36.7284946,1
id_43,-1.348875,36.7315392,1
id_44,-1.3569799,36.7314598,1
id_45,-1.3602888,36.7262223,1
id_46,-1.3599926,36.7262679,1
id_47,-1.3602696,36.7246953,1
id_48,-1.3593544,36.7246035,1
id_49,-1.356308,36.7215752,1
id_50,-1.3552376,36.7210588,1
id_51,-1.3628549,36.7325967,1
id_52,-1.3659135,36.7358933,1
id_53,-1.370196,36.7321495,1
id_54,-1.3711431,36.7434592,1
id_55,-1.3744732,36.7447695,1
id_56,-1.3747967,36.7441791,1
id_57,-1.3821768,36.7489767,1
id_58,-1.3606384,36.7431858,1
id_59,-1.356086,36.740784,1
id_60,-1.3554055,36.736319,1
id_61,-1.3707422,36.7600858,1
id_62,-1.3658297,36.7527399,1
id_63,-1.3646958,36.7563278,1
id_64,-1.3644168,36.7575053,1
id_65,-1.3650611,36.7472486,1
id_66,-1.362815,36.7538588,1
id_67,-1.359648,36.7592754,1
id_68,-1.3593172,36.7615315,1
id_69,-1.3586342,36.7608654,1
id_70,-1.3556484,36.7611963,1
id_71,-1.3541718,36.7499437,1
id_72,-1.3546258,36.751938,1
id_73,-1.3501375,36.7610947,1
id_74,-1.3571481,36.7560221,1
id_75,-1.389705,36.77028,1
id_76,-1.4290899,36.6871569,1
id_77,-1.4320039,36.6861749,1
id_78,-1.4365805,36.685025,1
id_79,-1.361911,36.7630808,1
id_80,-1.3667462,36.7297713,1
id_81,-1.369129,36.6678328,1
id_82,-1.3703757,36.6686942,1
id_83,-1.3737989,36.697634,1
id_84,-1.383046,36.67659,1
id_85,-1.385472,36.6773808,1
id_86,-1.3918312,36.6824601,1
id_87,-1.3943057,36.6835559,1
id_88,-1.3955067,36.6862091,1
id_89,-1.3972806,36.6859532,1
id_90,-1.4070024,36.6884611,1
id_91,-1.4168229,36.6869153,1
id_92,-1.4213518,36.6880261,1
id_93,-1.4289593,36.6888572,1
id_94,-1.4283651,36.6897242,1
id_95,-1.4308244,36.68726,1
id_96,-1.4324874,36.686085,1
id_97,-1.4243533,36.6937102,1
id_98,-1.4219578,36.697009,1
id_99,-1.4214367,36.700952,1
id_100,-1.4199043,36.7043376,1
id_101,-1.4167622,36.7092767,1
id_102,-1.4160244,36.7091735,1
id_103,-1.4130474,36.7111296,1
id_104,-1.4127791,36.711336,1
id_105,-1.4070389,36.7080668,1
id_106,-1.4097613,36.7128647,1
id_107,-1.4037264,36.7198131,1
id_108,-1.3952397,36.7346524,1
id_109,-1.3945527,36.7337022,1
id_110,-1.3960285,36.7365274,1
id_111,-1.3962981,36.737552,1
id_112,-1.3961669,36.7377679,1
id_113,-1.3963218,36.741004,1
id_114,-1.3968094,36.7430323,1
id_115,-1.3965588,36.7433286,1
id_116,-1.3961542,36.7535705,1
id_117,-1.3968516,36.7551992,1
id_118,-1.3968892,36.7555508,1
id_119,-1.39677,36.755667,1
id_120,-1.3966727,36.7555225,1
id_121,-1.3966538,36.7556418,1
id_122,-1.3976802,36.7574094,1
id_123,-1.3974605,36.7574,1
id_124,-1.3974354,36.7589509,1
id_125,-1.3966727,36.7599587,1
id_126,-1.3972062,36.7598174,1
id_127,-1.3951406,36.7633723,1
id_128,-1.3949742,36.7637486,1
id_129,-1.3944424,36.763299,1
id_130,-1.3728886,36.7211892,1
id_131,-1.3740217,36.7301409,1
id_132,-1.3926936,36.7640966,1
id_133,-1.3906265,36.7684211,1
id_134,-1.390835,36.7668734,1
id_135,-1.3896686,36.7673373,1
id_136,-1.3897403,36.767368,1
id_137,-1.3771851,36.7690609,1
id_138,-1.3654219,36.7567967,1
id_139,-1.3654617,36.7426522,1
id_140,-1.3665591,36.7434599,1
id_141,-1.3649695,36.7429871,1
id_142,-1.3569615,36.7393021,1
id_143,-1.3972919,36.7510979,1
id_144,-1.3972365,36.7543806,1
id_145,-1.3922607,36.7658269,1
id_146,-1.3805897,36.6771581,1
id_147,-1.4385634,36.6882859,1
id_148,-1.3724518,36.6709798,1
id_149,-1.3848463,36.6780481,1
id_150,-1.3627582,36.7139348,1
id_151,-1.383013,36.7392014,1
id_152,-1.3819334,36.7509122,1
id_153,-1.3909908,36.770519,1
id_154,-1.3923088,36.7799016,1
id_155,-1.3975525,36.7769003,1
id_156,-1.3950882,36.7639746,1
id_157,-1.397471,36.7595853,1
id_158,-1.3914744,36.7835271,1
id_159,-1.3929035,36.8061932,1
id_160,-1.3964488,36.754893,1
