name,latitude,longitude,weight
id_1,-1.3971101,36.7569011,1
id_2,-1.3651741,36.7422898,1
id_3,-1.3584951,36.7466228,1
id_4,-1.3584593,36.7467409,1
id_5,-1.3649741,36.7422702,1
id_6,-1.4038697,36.7281354,1
id_7,-1.4066009,36.729009,1
id_8,-1.4063401,36.7292277,1
id_9,-1.4057273,36.7282301,1
id_10,-1.4013057,36.7245278,1
id_11,-1.3477964,36.7136315,1
id_12,-1.3484035,36.7308901,1
id_13,-1.3642619,36.7312887,1
id_14,-1.3672896,36.7131825,1
id_15,-1.3604627,36.7445222,1
id_16,-1.3515563,36.7574172,1
id_17,-1.4309576,36.6869294,1
id_18,-1.4290626,36.6887737,1
id_19,-1.3890204,36.6835863,1
id_20,-1.4124947,36.6854364,1
id_21,-1.427299,36.6893511,1
id_22,-1.428825,36.6870946,1
id_23,-1.4303022,36.6870294,1
id_24,-1.4292645,36.6881651,1
id_25,-1.4294598,36.688214,1
id_26,-1.4291505,36.6888612,1
id_27,-1.3951719,36.7343131,1
id_28,-1.3955563,36.7409858,1
id_29,-1.394645,36.7463049,1
id_30,-1.3963297,36.7487011,1
id_31,-1.3965216,36.7488184,1
id_32,-1.3966644,36.7525335,1
id_33,-1.3960205,36.7533332,1
id_34,-1.396088,36.7536033,1
id_35,-1.3953114,36.7545096,1
id_36,-1.396227,36.7532424,1
id_37,-1.3962322,36.7533663,1
id_38,-1.396268,36.753703,1
id_39,-1.3969855,36.7538009,1
id_40,-1.3974165,36.7596259,1
id_41,-1.3974605,36.7597829,1
id_42,-1.3967543,36.7600591,1
id_43,-1.3955637,36.7622239,1
id_44,-1.3954321,36.7626575,1
id_45,-1.3947532,36.7635088,1
id_46,-1.3945585,36.7636807,1
id_47,-1.3942448,36.764015,1
id_48,-1.3682861,36.718351,1
id_49,-1.3765313,36.769099,1
id_50,-1.3650365,36.743288,1
id_51,-1.4204141,36.6879103,1
id_52,-1.3919328,36.7826549,1
id_53,-1.4013416138081334,36.79022483539025,1
id_54,-1.349377,36.9041482,1
id_55,-1.3717265,36.9321792,1
id_56,-1.3648535,36.9106264,1
id_57,-1.393066,36.9411192,1
id_58,-1.364483,36.9123746,1
id_59,-1.3642114,36.9119809,1
id_60,-1.366741,36.9149157,1
id_61,-1.3683427,36.9173911,1
id_62,-1.3713588,36.9206275,1
id_63,-1.3900484,36.9387257,1
id_64,-1.3909021,36.934438,1
id_65,-1.3927572,36.9381585,1
id_66,-1.3942875,36.9391486,1
id_67,-1.3565547,36.909287,1
id_68,-1.4190651,36.951322,1
id_69,-1.3918591,36.9405068,1
id_70,-1.3642277,36.9122316,1
id_71,-1.3640799,36.9117903,1
id_72,-1.381355391172987,36.98302901380075,1
id_73,-1.3217727,36.7060624,1
id_74,-1.2971556,36.8082543,1
id_75,-1.2917949,36.795069,1
id_76,-1.3318859,36.782038,1
id_77,-1.2873087,36.8090019,1
id_78,-1.2973428,36.8022159,1
id_79,-1.2950668,36.798867,1
id_80,-1.2644397,36.7920136,1
id_81,-1.313439,36.7798423,1
id_82,-1.3142991,36.7787721,1
id_83,-1.3060453,36.7878934,1
id_84,-1.3109875,36.7875726,1
